id,verb,object,detail
0,download,one file,more user
0,download,corruption,download speed
0,improve,fast connection,classical downloading segment position
0,s,an ize,file size
0,decide,chunk speed,NA
1,upload,file,other user
1,download,this increase,network
2,avoids,a full line usage,some speed
2,leaf,web browsing realise,that download speed limit
2,download,upload speed limit,opened slot hub
3,disconnect,source,certain value
3,speed,certain time,download speed
3,go,the source,the set value
3,avoid,unnecessary slot usage,NA
4,set,sound,situation change color scheme
4,change,icon show popup balloon,emoticon
5,link,new window,NA
6,show,timestamps,NA
7,tell,the result,the lowest status bar
8,autocomplete,user name,main chat
9,skip,list file,t
10,popup,menu,url s uou
10,add,winamp playlist,NA
11,file,the popup menu,the search result window
12,notification,pm s,the user
12,write,message,NA
13,autosearch,alternative,both folder
14,specify,text color,NA
15,user,defined color,main chat multicolor
16,filter,the user list,user
16,find,the list,NA
17,add,icon,the window tab
17,see,that specific tab,NA
18,fast,autosearch algorithm,the search
18,fast,alternative feature,NA
19,customize,color,the progress bar
19,customize,the transfer window,NA
20,search,alternate,release
21,vertical,tile feature,subwindows
22,option,the viewmenu,the transfer window
23,file,menu,the transfer menu
23,open,incomplete file,NA
24,type,eg,g search string
24,search,google,chat
25,file,information,transfer window
27,feature,torrent completion state change,NA
28,improve,set download location relocate feature,file
29,add,torrent dialog,magnet link
30,add,option,torrent
30,pause,user activity,the computer
31,tiger,tree hash tth,file integrity
32,search,all or selected connected hub,type size
33,resume,downloads,optional search
34,log,option,configuration
34,log,chat private message downloads,uploads
35,auto,configuration,upnp router
36,link,specific content,NA
37,automatic,download priority,NA
38,save,user s file list,NA
39,download,speed,torrent
41,set,the forward,your router
42,use,a proxy,both tracker
42,use,peer communication,NA
43,set,a default download dir,completed file
44,import,torrent,a set dir
45,include,quick help,NA
46,embed,tracker host,your own torrent
46,embed,your share periodic scanning,a dir
47,distribute,hash table host,a completely decentralised torrent
47,benefit,the tracker,NA
48,dynamic,bandwidth management download,other application
49,detailed,stats,the health
49,detailed,medium file,a safer more controlled experience
52,write,c stable and fast very low cpu usage,NA
53,multiple,simultaneous downloads ability,download file
53,select,one torrent,file priority
54,limit,the upload speed,a download speed
55,use,all default,NA
56,optimize,the upload distribution,order
56,get,the max download rate,NA
57,decrease,the potential damage,the hard disk
57,decrease,highspeed,s
57,download,the read write frequency extra memory usage,the cost
58,intelligent,disk,no longtime disk allocation
58,decrease,the disk fragment,NA
59,scan,no timeconsuming ning,resume
60,support,torrent share exchange torrent file,NA
61,support,longtime seeding improve download speed,NA
62,use,only one tcp listening port,NA
63,auto,config icf internet connection firewall,window
64,auto,config port mapping,router upnp support
64,require,router window,xp
65,support,mutitracker torrent format,extension udp tracker
67,use,interface,NA
68,search,a multitude,site
68,search,a single click,NA
69,return,all result,a single list
70,download,the list,the website source page
70,visit,complete detail,NA
71,complete,filtering,sorting
71,complete,result,any column
72,download,site,user registration
72,use,your system s cooky,NA
73,download,transparency,an engine status screen
73,show,a comprehensive breakdown,exactly what page torrent harvester
73,load,the result,each page
74,get,update,engine
74,get,torrent harvester,NA
75,create,your own engine,your favourite site
75,use,the inbuilt engine designer,your own torrent harvester update website
75,create,engine,other user
76,allow,creation,search engine
76,keygen,direct downloads,NA
77,help,the way,NA
78,support,peerguardian binary list format code,few minor modification
79,autoopen,hub,op
79,work,the entry,chat name list
79,rename,hub chatroom,NA
81,lock,toolbars,a toolbar context menu toolbar
82,use,search window,this option
82,turn,persistent search history,revconnect
83,keep,finished uploads,downloads
83,finish,session,NA
84,quick,search box,view menu
85,add,view menu,NA
86,display,full info,file list
86,display,download queue,NA
87,place,all non hub tab,front pm window
87,count,a hub tab,NA
88,use,zion,tab
89,mini,tab hub tab,NA
90,blend,offline search result,NA
91,log,chat,favorite hub property
92,auto,resizing,chat message box
92,set,max value,expert
92,set,order,NA
93,consider,old client,tth
94,use,regexp s,wildcards
94,use,ignorelist ,regexp option
94,look,the list,NA
95,toggle,speed indicator,stealthy styled progress bar
96,check,finished file,virus
97,use,the old way,x
97,display,hub name default,NA
99,highlight,search window,user
99,share,smt,NA
100,command,reconnect use rc,NA
101,regexp,adlsearch,related feature
101,relate,zion blue,NA
102,use,one layout,all hub window
103,modify,the present hub,chat room
103,use,raw or r command,added note
104,extract,metadata,profile xml file
106,use,organized search,file
106,accord,various category,the advanced search
106,set,individual parameter,search result
107,imagine,all the latest movie music game,software
107,filtrate,result,various criterion
108,embed,multiformat medium player mediaget,music
108,watch,movie,their download
108,choose,just press play,NA
109,adjust,pas band fast recovery,interrupted download serial torrent integration
110,download,music,video
110,add,your medium database,your collection
110,sort,any way,a file name
110,enter,a name,the artist
110,find,a certain file result,the request
111,find,more source,downloads
111,find,file,many user
111,enjoy,the most easytouse bittorrent client,NA
112,galaxy,search engine,exactly what
112,google,the best airfare,every single torrent site
112,perform,multiple web search,NA
113,galaxy,work,firewall
113,require,zero configuration,restricted network
113,restrict,data sharing,two peer
113,enable,a firewall,NA
114,use,several network,one reliable network source exchange kad
115,kad,an open testphase emule,kad
116,get,the file,the network
117,check,corruption,an error free file
118,speed,the correction,corrupted part
119,auto,priority and source management,many downloads
120,look,your video,archive
120,complete,video previewing,the video lan client
121,feature,webservices,a webserver
121,have,quick access,the internet
122,create,category,your download
123,find,the file,emule
123,offer,a wide range,search possibility
123,include,server local and global web based jigle,filedonkey
123,base,kad,alpha
124,use,very complex boolean search,the search
125,send,message,other client
125,add,a friend,your friend list
126,chat,other downloaders,chatter
126,chatter,the globe,NA
127,bundle,any kind,NA
128,support,multiple torrent,one instance
129,load,torrent info,torrent file
130,support,tab session,current session
133,par,all data,all running utorrent azureus bitcomet
134,select,upload,speed
135,select,random value,upload
135,download,speed,tracker update
136,select,tracker response interval program,this value
136,select,tracker,NA
137,burst,bittyrant bitspirit deluge ktorrent,NA
138,show,uploaded downloaded tracker update interval,more info
139,support,custom announce,client simulation parameter
140,support,different type,proxy http
141,keep,a log,any error
141,send,the developer,the log
141,fix,the problem,NA
142,inform,new version,NA
143,work,almost all bittorrent tracker,NA
144,download,one file,multiple user
144,download,the same time,corruption
144,improve,your download speed,NA
145,prevent,user,precious free slot
145,exhaust,the network,NA
146,reward,user,the network
146,upload,other client,NA
147,client,the network,a unique bit rsa public key
147,grant,earned credit,other user
149,recommend,quality file,ease
149,take,a look,the share master
149,take,magnet link,NA
150,decide,your downloads,source
151,use,the power,network
152,mean,access,a wide variety
152,mean,user,shareaza s
153,experience,downloads,fast shareaza swarm
153,mean,four network,NA
154,say,adios,corrupted file
154,skip,shareaza detects,corruption
154,fix,the download,NA
155,find,that file,global searching
156,search,the entire network,shareaza
157,display,a new window,your search result
157,overwrite,shareaza,the search
158,preview,user comment,rating
159,get,picture and movie preview,the search panel
159,view,comment,rating
159,write,user,shareaza
159,avoid,the real deal,NA
161,choose,dozen,different look
161,make,your own skin,the world shareaza
161,share,a style,your taste
162,translate,over ten different language,shareaza
162,equip,full unicode support,true international search
164,extend,the functionality,shareaza
164,extend,plugin module,the sky
165,say,medium player,NA
166,play,all type,video and audio file watch visualisation edit playlist
166,control,the player,a snazzy remote shareaza
166,control,your onestop medium solution,NA
167,view,that video file,well shareaza
167,download,the ability,your incomplete audio
168,chat,a friend,NA
169,chat,friend oneonone,shareaza pas
169,use,a message,another shareaza user
170,have,the ability,malicious company
170,block,client shareaza,NA
171,contact,list,instant messaging
171,contact,private mail,NA
174,improve,the client,a more intuitive and appealing gui server transfer
174,appeal,statistic window,better screen usage
174,revamp,greater customization,NA
175,conceive,emule,official
175,control,your client,feature
175,have,some extended feature,a intruder detection
175,extend,a graphical queue list client version information,automatic compression support gzip
175,include,the main distribution,a eye candy
175,simplify,our web server template,required traffic
175,keep,compatibility,different browser
176,interface,design,special care
176,take,the interface design,t
176,see,any misplaced box,a cut string image
176,use,our client,site
176,do,the best way,graphic designer
177,localization,emule,translator
177,localize,new string,currently supported language
177,support,basque belarusian catalan,chinesetraditional croatian
177,chinesesimplifie,czech danish dutch english extremaduran finnish french german greek,italian korean lithuanian malay
178,include,window user releasers,a lot
178,include,different system configuration,an extensive testing process
178,have,a release,t
178,mean,the client,bug
178,affect,the majority,the user
179,change,the gui,user
179,change,the configuration file,NA
180,rate,comment,file
180,rate,a better  information,user
180,get,an idea,the file rating
180,get,several level,quality
180,inform,this system,rating
180,accumulate,remote user,an average value
180,show,the thermometer style,NA
181,upload,a different and improved  progress bar,a better glimpse
181,give,the status,a client
181,show,the number,a currently downloading part
182,ask,another file management,the protocol
182,allow,only one file,the same time
182,transfer,a single client,other request
182,queue,the transferring file,our client
182,show,source,other file
182,request,each single file source list,another file
183,store,source,your client
183,close,long period source,the source exchange protocol
183,recover,rare file,the obtained source
183,obtain,other session,stored source
183,store,a file,NA
184,better,client information client software,the status
184,show,different mule icon different color,the official color
184,relate,the software,a better insight
184,give,the client type distribution,your queue
184,connect,credit friend,status
184,show,different icon modification,NA
185,unneeded,source,your download queue
185,be,don t,the file
185,use,a slot,u
185,use,this kind,the max source limit
185,remove,a file,NA
186,download,queue progress queue progress,color coding progression regression
186,code,the same position,information
186,lose,previous source status check,NA
187,destination,directory,the main incoming directory destination directory
187,set,every downloading file,completion
187,transfer,that directory,NA
188,filename,cleanup,this feature
188,clean,filename unwanted advertisement string,noncased file
188,format,a more pleasant way,NA
189,improve,search,file
189,contain,string,support
189,be,filedonkey and emugle web service search,the selected search method
189,retain,session,t
189,change,your preferred choice,a new search
190,enhance,information,search result
190,enhanced,additional information,the date
190,provide,server,a complete source
190,see,the specific file,this information
190,show,the risk,incomplete file medium information length bitrate
190,stay,codec,medium content file
190,provide,search result average file rating comment,a well
190,collect,the estimation,the number
191,relate,file search,a related search
191,give,the file,the client
191,share,the given file,related companion file
191,detect,anomaly,file distribution
192,part,traffic,information
192,spread,application,which file
192,request,a lot,this information
192,obtain,the client,all transfer information
192,store,the plus team,the second method
192,know,your client,NA
193,part,status,sometimes old and not well designed client
193,ask,rare part,t
193,need,more time,mind
193,spread,a feature,access
193,disable,these part,the client
194,jumpstart,the initial release,a file
194,jumpstart,the problem,some part
194,transfer,time,all jumpstart
194,control,a release,the spread
194,supervise,the different chunk,an automated and intelligent process
195,upload,the protocol,a way
195,design,only full chunk,a chunk
195,share,a size,that part
195,share,the world,the zz upload system
195,prioritize,the upload,full chunk
195,maximize,your upload speed,trickle slot
195,maximize,these slot,the remaining bandwidth
195,use,the other downloading client,the speed
195,prioritize,a level transfer speed,all the downloading client
195,guarantee,a faster spread,file
195,guarantee,the network,NA
196,increase,chance,rare file
196,upload,spread small file,NA
197,shell,menu,shared file
197,share,a shell menu,the file handling option
197,support,the operating system,NA
198,doubleclick,behavior,a possibility
198,configure,the doubleclick action,source
198,configure,file,a user
198,decide,which way,NA
199,font,configuration,customization
199,allow,the font style,size
199,use,irc,chat log window
200,smooth,file completion,a custom
200,make,copy,a much more responsive system
201,message,filtering,message
201,contain,filtered word,an option
201,keep,the log,NA
202,comment,filtering,disable comment
202,contain,filtered word,an option
202,keep,the log,NA
203,allow,faster file,the rarest and or complete chunk
204,save,bandwidth and increase download speed,dual network capacity environment
204,increase,your pc,the internet
204,discover,other local lan source,these client
204,upload,your client s normal  limit,multicast
204,use,people,an internet connection
204,share,other emule plus user student network home network and metropolitan area network,multicast data
205,complete,source,a new column
205,complete,shared file window,a range
205,show,possible value,the number
205,share,didn t,enough data
205,calculate,a total range,an approximate value
205,precede,a sign tip,NA
206,share,file permission permission,a file
206,show,the shared file list,a remote user
206,request,this feature,comprehensive flexibility
206,report,only desirable shared file,particular user category
207,auto,download,list
207,auto,every x minute client downloads xml file,preconfigured location
207,contain,link,those link
207,download,specified category,file
207,spread,group,NA
208,improve,source exchange track,all file request
208,improve,not only client,some file
208,wait, queue,more source
208,provide,source exchange request,a some client
208,request,several file,NA
209,support,large file maximum ed file size,gb byte byte
210,instal,any file,your dropbox folder
210,synchronize,any other computer,dropbox
210,instal,a well a,the web
210,sync,your other computer,NA
211,delete,that page report,a meeting
211,have,a handy dropbox feature,the ability
211,pull,any previous version,NA
212,share,file,whomever
212,choose,music,buddy
212,re,dropbox user,NA
213,show,dropbox,the way
213,handle,file,example
213,make,a change,a huge file dropbox
213,update,the piece,the file
214,transport,ssl,bank use
215,complete,compromised file,NA
216,search,userspecified interval,NA
218,paused,downloads,NA
219,configuration,last run,auto load
219,save,startup,NA
220,configuration,last run,auto load
220,save,startup,NA
221,clean,any adware,spyware
222,finished,wrong file,NA
223,find,more source,user
223,find,specified interval,NA
225,interface,a system tray icon,NA
226,finished,wrong file,NA
227,find,more source,userspecified interval
229,interface,a system tray icon,NA
230,configuration,last run,auto load
230,save,startup,NA
231,clean,any adware,spyware
232,upload,speed limit,NA
233,install,the program,a single torrent download
234,s,additional feature auto tartup update file aociation,installation
235,allow,deluge,a a daemon
236,connect,the deluge daemon,NA
239,store,your file,NA
240,share,file,NA
241,create,new document spreadsheet,presentation
242,integration,gmail,NA
243,open,file type,your browser
245,create,revision,your stored content
246,finished,wrong file,NA
247,find,more source,userspecified interval
248,configuration,last run,auto load
248,save,startup,NA
250,interface,a system tray icon,NA
251,customize,traffic,NA
252,turn,download report seeder emulation,NA
253,turn,upload report network problem emulation,NA
254,file,those torrent,NA
255,move,torrent,a different folder
256,control,transmission,the web
256,use,rpc,webui
258,resume,peer,NA
259,blocklist,bad peer,the same bluetack peer list
262,operate,interface,NA
264,operable,system tray icon,convenient and faster use
265,search,multiple source,userspecified interval
266,keep,configuration,last run and auto load
266,keep,startup,NA
267,access,window explorer photo document,all your other important file
268,add,new file,the onedrive folder
269,organize,your file,any other folder
270,connect,your pc,NA
271,play,music,video file
271,play,any device,your home
271,assure,your favorite song,vacation video
271,play,any supported device,format
271,transcode,real time,the show
271,enjoy,sound nero mediahome,the rest
272,have,so much digital medium,your pc laptop
272,save,the hard drive,your game console
272,keep,your file,order
272,keep,nero mediahome,digital medium file
272,organize,intuitive categorization feature,tv channel collection music photo and video nero mediahome
272,give,full control,your personal medium file
272,compatible,device,your connected home
272,include,your xbox and playstation game console,NA
273,watch,your favorite tv program someplace,your home
273,watch,your living room,live tv
273,stream,wireless ing feature,nero mediahome
273,watch,your favorite show,NA
274,enjoy,your favorite song,your home nero mediahome
274,stream,the hard drive,your pc
274,choose,a variety,web radio station
275,share,photo music video apps pdf,other file type
275,share,no size restriction,NA
276,control,your ppt,your mobile
277,back,valuable data,a second save
278,transfer,back up contact message apps,all type
279,search,torrent file,the most popular search engine
280,customizable,user interface,several skin
281,embed,web browser,link
281,embed,the best torrent site,NA
282,create,torrent wizard,your file
282,share,the rest,the community
283,detail,window,your downloads
285,install,language english spanish italian german,french
285,include,polish,NA
287,interface,a system tray icon,NA
288,complete,bad file,NA
289,search,more source,userspecified period
290,configuration,last run,auto load
290,save,startup,NA
292,integrated,r feed reader,downloader
293,dht,pex encryption lsd upnp natpmp âµtp,NA
294,cross,platform linux mac o window,NA
295,control,file,a torrent filtering prioritizing
296,nice,âµtorrentlike interface,toolkit qbittorrent
297,ip,filtering emule dat file,peerguardian file
298,peer,display,country and hostname resolution qbittorrent
299,advanced,control,torrent tracker qbittorrent
301,remote,control,secure web user interface
302,find,more source,userspecified interval
303,configuration,last run,auto load
303,save,startup,NA
305,finished,wrong file,NA
306,interface,a system tray icon,NA
307,detailed,user interface,view
307,detailed,individual peer  bitfield graph,NA
308,include,trading seeding share adjustment,adjustable priority
308,include,individual transfer,NA
309,efficient,peer,unchoking algorithm
309,ensure,fast downloads,NA
310,seed,new transfer,NA
311,peer,transfer,systemwide event
311,log,adjustable detail level,backscroll size
312,move,downloaded file,new filesystem location
312,download,transfer,progress
313,dht,distributed hash table implementation,detailed message traffic charting
314,free,zultrax,a contribution
314,like,the program,NA
315,clean,no adware,no spyware
315,clean,no bundle zultrax doesn t,any garbage
315,modify,your registry,NA
316,stable,zultrax doesn t crash,problem
317,smart,the zultrax kernel,advanced state
317,contain,the art technology,NA
318,silent,zultrax,an eye
318,keep,your cpu usage,adapts
318,slow,your machine,NA
319,update,new show,NA
320,featured,show show,NA
321,torrent,status,tracker
322,resolve,peer s host name,country
323,display,country flag,NA
324,tray,icon and balloon tooltips,download
325,add,a new torrent,NA
326,view,detail,connected peer
329,high,speed batch file transfer,NA
330,receive,text snippet,NA
331,receive,file,the application
332,show,your ip address,the ip connection page
333,disk,cache,magnet uri support
334,trackerless,torrent,the mainline kademlia dht protocol
335,ip,filtering,emule style ipfilter dat import
336,tray,transfer rate summary,NA
337,full,unicode support,native window widechar string
338,login,support,tracker
339,edit,tracker,the torrent
339,create,torrent file,NA
340,port,randomisation,unplug
